wording,direction,task_dir,episode_index,chunks,certain_chunks,coverage_fraction,any_imagined_requested,any_executed_requested,terminal_imagined_requested,terminal_executed_requested,terminal_quadrant
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,8,6,4,0.6666666666666666,True,True,True,True,imagines_requested_executes_requested
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,9,15,10,0.6666666666666666,False,True,,True,uncertain_future
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,0,15,8,0.5333333333333333,False,False,False,False,neither_imagines_nor_executes_requested
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,1,11,10,0.9090909090909091,False,True,False,True,does_not_imagine_requested_executes_requested
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,2,4,3,0.75,True,True,True,True,imagines_requested_executes_requested
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,3,15,8,0.5333333333333333,False,False,,False,uncertain_future
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,4,15,10,0.6666666666666666,False,False,,False,uncertain_future
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,5,5,2,0.4,False,True,,True,uncertain_future
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,6,15,11,0.7333333333333333,False,False,,False,uncertain_future
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,7,15,6,0.4,False,False,,False,uncertain_future
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,8,15,7,0.4666666666666667,False,False,False,False,neither_imagines_nor_executes_requested
short_paraphrase,left,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask,9,15,6,0.4,False,True,,True,uncertain_future
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,0,5,3,0.6,True,True,True,True,imagines_requested_executes_requested
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,1,6,4,0.6666666666666666,False,True,,True,uncertain_future
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,2,5,3,0.6,False,True,,True,uncertain_future
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,3,8,3,0.375,True,True,True,True,imagines_requested_executes_requested
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,4,11,4,0.36363636363636365,True,True,,True,uncertain_future
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,5,5,3,0.6,True,True,True,True,imagines_requested_executes_requested
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,6,5,1,0.2,False,True,,True,uncertain_future
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,7,4,3,0.75,True,False,True,False,imagines_requested_executes_not_requested
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,8,6,3,0.5,True,True,True,True,imagines_requested_executes_requested
short_paraphrase,right,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask,9,9,4,0.4444444444444444,False,True,,True,uncertain_future
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,0,8,4,0.5,False,True,,True,uncertain_future
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,1,6,3,0.5,False,True,,True,uncertain_future
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,2,11,5,0.45454545454545453,False,True,,True,uncertain_future
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,3,5,2,0.4,False,True,,True,uncertain_future
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,4,7,4,0.5714285714285714,False,True,,True,uncertain_future
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,5,10,5,0.5,False,True,,True,uncertain_future
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,6,5,4,0.8,False,True,,True,uncertain_future
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,7,5,2,0.4,False,True,,True,uncertain_future
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,8,5,4,0.8,True,True,True,True,imagines_requested_executes_requested
declarative_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,9,4,1,0.25,False,True,,True,uncertain_future
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,0,15,13,0.8666666666666667,False,False,False,False,neither_imagines_nor_executes_requested
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,1,7,3,0.42857142857142855,False,True,,True,uncertain_future
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,2,13,7,0.5384615384615384,True,True,True,True,imagines_requested_executes_requested
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,3,6,2,0.3333333333333333,False,True,,True,uncertain_future
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,4,8,4,0.5,False,True,,True,uncertain_future
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,5,8,5,0.625,True,True,True,True,imagines_requested_executes_requested
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,6,6,1,0.16666666666666666,False,True,,True,uncertain_future
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,7,12,5,0.4166666666666667,True,True,True,True,imagines_requested_executes_requested
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,8,8,4,0.5,False,True,,True,uncertain_future
declarative_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask,9,4,3,0.75,False,True,,True,uncertain_future
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,0,15,7,0.4666666666666667,False,False,,False,uncertain_future
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,1,11,4,0.36363636363636365,False,True,,True,uncertain_future
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,2,15,11,0.7333333333333333,False,False,False,False,neither_imagines_nor_executes_requested
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,3,15,11,0.7333333333333333,False,False,,False,uncertain_future
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,4,15,9,0.6,False,False,False,False,neither_imagines_nor_executes_requested
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,5,15,5,0.3333333333333333,False,False,,False,uncertain_future
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,6,15,10,0.6666666666666666,False,False,False,False,neither_imagines_nor_executes_requested
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,7,15,11,0.7333333333333333,False,False,,False,uncertain_future
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,8,15,9,0.6,False,False,,False,uncertain_future
contrastive_goal,left,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask,9,15,12,0.8,False,False,,False,uncertain_future
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,0,15,10,0.6666666666666666,False,False,False,False,neither_imagines_nor_executes_requested
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,1,5,3,0.6,True,True,True,True,imagines_requested_executes_requested
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,2,10,3,0.3,True,True,True,True,imagines_requested_executes_requested
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,3,8,3,0.375,False,True,,True,uncertain_future
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,4,11,6,0.5454545454545454,False,True,,True,uncertain_future
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,5,4,3,0.75,True,True,True,True,imagines_requested_executes_requested
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,6,11,6,0.5454545454545454,True,True,True,True,imagines_requested_executes_requested
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,7,4,3,0.75,False,True,,True,uncertain_future
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,8,7,5,0.7142857142857143,False,True,,True,uncertain_future
contrastive_goal,right,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask,9,4,2,0.5,False,True,,True,uncertain_future
